Rank,University Name ,ranking-institution-title href,Location,sdg-score-multi__number,sdg-score-multi__value,sdg-score-multi__number 2,sdg-score-multi__value 2,sdg-score-multi__number 3,sdg-score-multi__value 3,sdg-score-multi__value 4,scores,sdg-score-multi__number 5,sdg-score-multi__value 5,sdg-score-multi__number 6,sdg-score-multi__value 6,sdg-score-multi__number 7,sdg-score-multi__value 7,sdg-score-multi__number 8,sdg-score-multi__value 8
9,Western University,https://www.timeshighereducation.com/world-university-rankings/western-university,Canada,9,97.7,1,88,8,78.6,81.9–86.9,95.8,,,,,,,,
12,University of Auckland,https://www.timeshighereducation.com/world-university-rankings/university-auckland,New Zealand,15,95,5,75.8,9,93.3,92.2,95.6,,,,,,,,
13,University of Glasgow,https://www.timeshighereducation.com/world-university-rankings/university-glasgow,United Kingdom,11,93.1,16,89.1,8,76.8,96.6,95.4,,,,,,,,
14,Université Laval,https://www.timeshighereducation.com/world-university-rankings/laval-university,Canada,2,88.5,12,90.7,15,94.5,93.7,95,,,,,,,,
14,University of Technology Sydney,https://www.timeshighereducation.com/world-university-rankings/university-technology-sydney,Australia,12,88.9,8,78.2,11,86,96.1,95,,,,,,,,
14,Yonsei University (Seoul campus),https://www.timeshighereducation.com/world-university-rankings/yonsei-university-seoul-campus,South Korea,9,99.9,12,91,8,78.2,91.6,95,,,,,,,,
17,Chulalongkorn University,https://www.timeshighereducation.com/world-university-rankings/chulalongkorn-university,Thailand,9,99,3,88.1,8,74.4,95.6,94.8,,,,,,,,
18,University of Exeter,https://www.timeshighereducation.com/world-university-rankings/university-exeter,United Kingdom,6,92.7,12,90.5,15,90.2,94,94.5,,,,,,,,
18,UNSW Sydney,https://www.timeshighereducation.com/world-university-rankings/unsw-sydney,Australia,13,92.6,11,90.6,15,93.4,94.8,94.5,,,,,,,,
20,University of Indonesia,https://www.timeshighereducation.com/world-university-rankings/university-indonesia,Indonesia,2,87.7,1,89,8,79.1,81.9–86.9,94.4,,,,,,,,
21,Monash University,https://www.timeshighereducation.com/world-university-rankings/monash-university,Australia,11,91,9,94.3,3,87.9,94.9,94,,,,,,,,
22,Hokkaido University,https://www.timeshighereducation.com/world-university-rankings/hokkaido-university,Japan,9,96.2,15,90,14,83.2,90.8,93.9,,,,,,,,
23,University of Bologna,https://www.timeshighereducation.com/world-university-rankings/university-bologna,Italy,9,99.6,5,77.9,10,83.6,89.9,93.8,,,,,,,,
24,National Cheng Kung University (NCKU),https://www.timeshighereducation.com/world-university-rankings/national-cheng-kung-university-ncku,Taiwan,9,99.9,3,87.1,12,82.4,93.5,93.5,,,,,,,,
24,Newcastle University,https://www.timeshighereducation.com/world-university-rankings/newcastle-university,United Kingdom,12,88.1,11,84.7,13,79.5,91.5,93.5,,,,,,,,
26,University of British Columbia,https://www.timeshighereducation.com/world-university-rankings/university-british-columbia,Canada,13,86.2,10,84.8,,,81.9–86.9,93.4,11,85.7,,,,,,
26,Michigan State University,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university,United States,15,93.5,11,89,2,80.4,93.1,93.4,,,,,,,,
28,University of Newcastle,https://www.timeshighereducation.com/world-university-rankings/university-newcastle,Australia,11,91.3,3,86.3,6,84.7,87,93,,,,,,,,
29,Bournemouth University,https://www.timeshighereducation.com/world-university-rankings/bournemouth-university,United Kingdom,12,91.5,13,80.5,,,81.9–86.9,92.9,8,83,,,,,,
29,University of Coimbra,https://www.timeshighereducation.com/world-university-rankings/university-coimbra,Portugal,11,84.1,9,96.3,,,89.4,92.9,3,84.8,,,,,,
29,University of the Sunshine Coast,https://www.timeshighereducation.com/world-university-rankings/university-sunshine-coast,Australia,6,88.4,14,90,15,87.8,89.1,92.9,,,,,,,,
32,National Autonomous University of Mexico,https://www.timeshighereducation.com/world-university-rankings/national-autonomous-university-mexico,Mexico,9,99.7,,,7,83.3,75.6–81.7,92.8,3,87.2,,,,,,
33,McMaster University,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university,Canada,9,94.7,3,88,1,83.5,90.3,92.7,,,,,,,,
34,University of Calgary,https://www.timeshighereducation.com/world-university-rankings/university-calgary,Canada,6,86.3,11,86.1,9,91.1,92.6,92.6,,,,,,,,
34,University of Galway,https://www.timeshighereducation.com/world-university-rankings/university-galway,Ireland,3,84.6,14,86.2,12,92.1,91.6,92.6,,,,,,,,
36,University of East Anglia,https://www.timeshighereducation.com/world-university-rankings/university-east-anglia,United Kingdom,15,96.6,12,82,8,80.7,81.9–86.9,92.5,,,,,,,,
36,University of Strathclyde,https://www.timeshighereducation.com/world-university-rankings/university-strathclyde,United Kingdom,16,87.9,12,90.1,9,98.2,96.8,92.5,,,,,,,,
38,Mahidol University,https://www.timeshighereducation.com/world-university-rankings/mahidol-university,Thailand,3,92.8,7,81.3,9,92.8,98.1,92.4,,,,,,,,
39,Macquarie University,https://www.timeshighereducation.com/world-university-rankings/macquarie-university,Australia,14,96.2,8,80.7,6,88.1,81.9–86.9,92.3,,,,,,,,
40,Penn State (Main campus),https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus,United States,11,89.9,14,91.9,15,85.1,81.9–86.9,92.1,,,,,,,,
40,York University,https://www.timeshighereducation.com/world-university-rankings/york-university,Canada,11,89.6,12,83.4,10,81.5,89.5,92.1,,,,,,,,
42,Kyung Hee University,https://www.timeshighereducation.com/world-university-rankings/kyung-hee-university,South Korea,9,99.3,3,82.1,8,80.8,89.7,91.9,,,,,,,,
42,Kyungpook National University,https://www.timeshighereducation.com/world-university-rankings/kyungpook-national-university,South Korea,9,98.3,8,66.4–71.5,2,77.1,81.9–86.9,91.9,,,,,,,,
42,University of Montreal,https://www.timeshighereducation.com/world-university-rankings/university-montreal,Canada,9,97.7,8,80.6,1,86.1,88.8,91.9,,,,,,,,
42,University of Sheffield,https://www.timeshighereducation.com/world-university-rankings/university-sheffield,United Kingdom,12,90.7,16,87.1,13,81.6,89.1,91.9,,,,,,,,
46,University of Johannesburg,https://www.timeshighereducation.com/world-university-rankings/university-johannesburg,South Africa,1,92,8,81.8,5,74.1,75.6–81.7,91.8,,,,,,,,
46,KTH Royal Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/kth-royal-institute-technology,Sweden,9,88.5,12,85.1,11,84,94,91.8,,,,,,,,
46,University of Surrey,https://www.timeshighereducation.com/world-university-rankings/university-surrey,United Kingdom,11,90,12,85.6,10,82.8,88.6,91.8,,,,,,,,
49,Kyoto University,https://www.timeshighereducation.com/world-university-rankings/kyoto-university,Japan,9,99.3,2,77.7,1,79.3,75.6–81.7,91.3,,,,,,,,
49,University of Leicester,https://www.timeshighereducation.com/world-university-rankings/university-leicester,United Kingdom,12,87.3,10,83.3,16,80.6,75.6–81.7,91.3,,,,,,,,
49,University of Sussex,https://www.timeshighereducation.com/world-university-rankings/university-sussex,United Kingdom,16,80.8,1,81.1,,,96.1,91.3,11,83.4,,,,,,
52,Amrita Vishwa Vidyapeetham,https://www.timeshighereducation.com/world-university-rankings/amrita-vishwa-vidyapeetham,India,6,81.4,4,85,,,81.9–86.9,91.2,3,86.8,,,,,,
52,Cardiff University,https://www.timeshighereducation.com/world-university-rankings/cardiff-university,United Kingdom,14,93.6,15,92.2,12,87.9,88.3,91.2,,,,,,,,
52,University of Edinburgh,https://www.timeshighereducation.com/world-university-rankings/university-edinburgh,United Kingdom,16,80.5,,,,,81.9–86.9,91.2,,,9,99.9,3,79.5,,
55,University of Waterloo,https://www.timeshighereducation.com/world-university-rankings/university-waterloo,Canada,11,85.3,2,80.4,8,74.3,92.1,91.1,,,,,,,,
56,University of Essex,https://www.timeshighereducation.com/world-university-rankings/university-essex,United Kingdom,12,87.3,16,86.1,5,72.9,91.8,91,,,,,,,,
57,La Trobe University,https://www.timeshighereducation.com/world-university-rankings/la-trobe-university,Australia,8,79.1,3,87.3,5,70.3,70.6–75.5,90.9,,,,,,,,
58,Istanbul Technical University,https://www.timeshighereducation.com/world-university-rankings/istanbul-technical-university,Turkey,,,8,81.1,,,87.5,90.8,9,99.1,4,84.5,,,,
58,University College Cork,https://www.timeshighereducation.com/world-university-rankings/university-college-cork,Ireland,6,84.7,11,82.3,2,87.6,81.9–86.9,90.8,,,,,,,,
58,Victoria University of Wellington,https://www.timeshighereducation.com/world-university-rankings/victoria-university-wellington,New Zealand,16,88.5,11,87.7,15,90.7,81.9–86.9,90.8,,,,,,,,
61,University of Reading,https://www.timeshighereducation.com/world-university-rankings/university-reading,United Kingdom,12,93,15,93.6,8,76.2,81.9–86.9,90.7,,,,,,,,
61,University of Wollongong,https://www.timeshighereducation.com/world-university-rankings/university-wollongong,Australia,,,,,9,92.3,81.9–86.9,90.7,8,82.1,6,80.8,,,,
63,University of Otago,https://www.timeshighereducation.com/world-university-rankings/university-otago,New Zealand,3,88.9,13,76.8,,,81.9–86.9,90.6,11,88.4,,,,,,
64,Auckland University of Technology,https://www.timeshighereducation.com/world-university-rankings/auckland-university-technology,New Zealand,5,73.3,8,80.7,12,80.8,81.9–86.9,90.5,,,,,,,,
64,Bangor University,https://www.timeshighereducation.com/world-university-rankings/bangor-university,United Kingdom,12,88.4,8,74.9,5,69.1,81.9–86.9,90.5,,,,,,,,
66,Manchester Metropolitan University,https://www.timeshighereducation.com/world-university-rankings/manchester-metropolitan-university,United Kingdom,12,92.9,15,88.3,8,75.4,96.9,90.4,,,,,,,,
67,National Taiwan University (NTU),https://www.timeshighereducation.com/world-university-rankings/national-taiwan-university-ntu,Taiwan,9,99.7,2,77.3,12,76.7,81.9–86.9,90.3,,,,,,,,
67,University of Saskatchewan,https://www.timeshighereducation.com/world-university-rankings/university-saskatchewan,Canada,3,81.1,2,81.1,,,81.9–86.9,90.3,11,87.1,,,,,,
69,University of Pretoria,https://www.timeshighereducation.com/world-university-rankings/university-pretoria,South Africa,9,88.7,8,82.5,5,74.6,87.7,90.1,,,,,,,,
70,University of Aberdeen,https://www.timeshighereducation.com/world-university-rankings/university-aberdeen,United Kingdom,12,86.9,16,86.1,11,84.9,98.2,90,,,,,,,,
71,Dublin City University,https://www.timeshighereducation.com/world-university-rankings/dublin-city-university,Ireland,10,86.5,,,,,81.9–86.9,89.9,5,76.1,12,84.1,,,,
72,Griffith University,https://www.timeshighereducation.com/world-university-rankings/griffith-university,Australia,3,86.3,16,86,8,74.4,90.7,89.8,,,,,,,,
72,Oklahoma State University,https://www.timeshighereducation.com/world-university-rankings/oklahoma-state-university,United States,11,80,2,86.4,,,92.1,89.8,3,73.5–78.9,,,,,,
74,Brunel University London,https://www.timeshighereducation.com/world-university-rankings/brunel-university-london,United Kingdom,,,10,83.9,16,84.3,81.9–86.9,89.7,15,84.7,,,,,,
74,Central Queensland University,https://www.timeshighereducation.com/world-university-rankings/central-queensland-university,Australia,5,74.9,14,88.4,10,78.6,89.8,89.7,,,,,,,,
74,Chiang Mai University,https://www.timeshighereducation.com/world-university-rankings/chiang-mai-university,Thailand,5,71.1,12,80.7,3,81.7,95.7,89.7,,,,,,,,
77,University of Canterbury,https://www.timeshighereducation.com/world-university-rankings/university-canterbury,New Zealand,3,68.3–73.4,12,90.3,11,82.2,81.9–86.9,89.6,,,,,,,,
77,Durham University,https://www.timeshighereducation.com/world-university-rankings/durham-university,United Kingdom,12,87.5,15,90.5,11,84.4,89.8,89.6,,,,,,,,
79,Charles Sturt University,https://www.timeshighereducation.com/world-university-rankings/charles-sturt-university,Australia,,,15,83.3,6,78.3,94.6,89.5,,,,,,,5,71.9
79,University of Guelph,https://www.timeshighereducation.com/world-university-rankings/university-guelph,Canada,1,77.6,2,76,,,87.5,89.5,,,6,75,,,,
79,University of Liverpool,https://www.timeshighereducation.com/world-university-rankings/university-liverpool,United Kingdom,16,89.6,10,80.4,11,79.1,92.7,89.5,,,,,,,,
79,Northumbria University,https://www.timeshighereducation.com/world-university-rankings/northumbria-university,United Kingdom,,,16,81.9,15,88.1,95.4,89.5,,,8,81.3,,,,
83,Chinese University of Hong Kong,https://www.timeshighereducation.com/world-university-rankings/chinese-university-hong-kong,Hong Kong,4,87.6,8,78.9,16,85.1,93,89.4,,,,,,,,
83,National Yang Ming Chiao Tung University,https://www.timeshighereducation.com/world-university-rankings/national-yang-ming-chiao-tung-university-0,Taiwan,16,82.3,,,9,97.5,81.9–86.9,89.4,3,86.7,,,,,,
85,Queen’s University Belfast,https://www.timeshighereducation.com/world-university-rankings/queens-university-belfast,United Kingdom,12,91.1,15,84.4,10,79.6,81.9–86.9,89.3,,,,,,,,
86,University of Greenwich,https://www.timeshighereducation.com/world-university-rankings/university-greenwich,United Kingdom,12,85,15,86.5,,,95.7,89.2,10,82.3,,,,,,
86,University of Limerick,https://www.timeshighereducation.com/world-university-rankings/university-limerick,Ireland,12,89.2,8,77.7,10,81.5,91.8,89.2,,,,,,,,
86,Massey University,https://www.timeshighereducation.com/world-university-rankings/massey-university,New Zealand,,,5,72.3,,,81.9–86.9,89.2,11,79.2,8,77.3,,,,
86,Nottingham Trent University,https://www.timeshighereducation.com/world-university-rankings/nottingham-trent-university,United Kingdom,16,85.8,12,84.7,11,81.2,95.5,89.2,,,,,,,,
86,Simon Fraser University,https://www.timeshighereducation.com/world-university-rankings/simon-fraser-university,Canada,11,93.4,13,86,16,86.5,91.3,89.2,,,,,,,,
91,Politecnico di Milano,https://www.timeshighereducation.com/world-university-rankings/politecnico-di-milano,Italy,9,99.6,,,8,76.8,75.6–81.7,89.1,10,81.2,,,,,,
92,University of Canberra,https://www.timeshighereducation.com/world-university-rankings/university-canberra,Australia,10,89.1,3,84.4,8,73,61.1–70.5,89,,,,,,,,
92,Monterrey Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/monterrey-institute-technology,Mexico,7,78.1,12,81.9,1,80.6,95.6,89,,,,,,,,
92,Virginia Polytechnic Institute and State University,https://www.timeshighereducation.com/world-university-rankings/virginia-polytechnic-institute-and-state-university,United States,12,88.3,11,84.1,2,80.7,81.9–86.9,89,,,,,,,,
92,University of Waikato,https://www.timeshighereducation.com/world-university-rankings/university-waikato,New Zealand,5,70.7,8,73.2,16,81.5,93.3,89,,,,,,,,
96,Iowa State University,https://www.timeshighereducation.com/world-university-rankings/iowa-state-university,United States,11,78.8,,,,,87.7,88.7,2,88.9,,,7,76.8,,
97,Khon Kaen University,https://www.timeshighereducation.com/world-university-rankings/khon-kaen-university,Thailand,2,85.9,1,79.3,,,87,88.6,5,71.2,,,,,,
97,Shanghai University,https://www.timeshighereducation.com/world-university-rankings/shanghai-university,China,,,,,,,75.6–81.7,88.6,,,9,99.7,7,79.2,8,66.4–71.5
99,University of Toronto,https://www.timeshighereducation.com/world-university-rankings/university-toronto,Canada,9,89.2,10,79.2,12,82.2,89.5,88.4,,,,,,,,
100,Dalhousie University,https://www.timeshighereducation.com/world-university-rankings/dalhousie-university,Canada,12,88.7,14,92,,,81.9–86.9,88.3,6,84.1,,,,,,
100,Florida International University,https://www.timeshighereducation.com/world-university-rankings/florida-international-university,United States,14,95.9,,,15,91.8,91.2,88.3,6,87.6,,,,,,
100,University of Plymouth,https://www.timeshighereducation.com/world-university-rankings/university-plymouth,United Kingdom,,,11,83.7,2,74.6,81.9–86.9,88.3,,,12,83.8,,,,
101–200,Abdullah Gül University,https://www.timeshighereducation.com/world-university-rankings/abdullah-gul-university,Turkey,4,73.1,1,79.1,11,67.1–76.0,89,82.2–88.2,,,,,,,,
101–200,Ahlia University,https://www.timeshighereducation.com/world-university-rankings/ahlia-university,Bahrain,10,86.4,,,,,81.9–86.9,82.2–88.2,8,73.3,,,,,,
101–200,Universitas Airlangga,https://www.timeshighereducation.com/world-university-rankings/universitas-airlangga,Indonesia,1,82.7,5,69.3,6,75.5,75.6–81.7,82.2–88.2,,,,,,,,
101–200,Ajou University,https://www.timeshighereducation.com/world-university-rankings/ajou-university,South Korea,9,88.9,1,74.4,,,75.6–81.7,82.2–88.2,4,66.6–73.0,,,,,,
101–200,Al-Ahliyya Amman University,https://www.timeshighereducation.com/world-university-rankings/al-ahliyya-amman-university,Jordan,6,87.7,10,79.1,4,76.3,70.6–75.5,82.2–88.2,,,,,,,,
101–200,Al Ain University,https://www.timeshighereducation.com/world-university-rankings/al-ain-university,United Arab Emirates,,,8,72.2,,,81.9–86.9,82.2–88.2,,,4,86.3,5,72.4,,
101–200,Universidad Andrés Bello (UNAB),https://www.timeshighereducation.com/world-university-rankings/universidad-andres-bello-unab,Chile,,,,,5,68.4,81.9–86.9,82.2–88.2,3,73.5–78.9,15,77.6,,,,
101–200,University of L’Aquila,https://www.timeshighereducation.com/world-university-rankings/university-laquila,Italy,4,86.1,3,85.5,5,72.8,70.6–75.5,82.2–88.2,,,,,,,,
101–200,Aswan University,https://www.timeshighereducation.com/world-university-rankings/aswan-university,Egypt,11,81,2,56.3–67.3,,,90.3,82.2–88.2,,,3,63.9–68.2,,,,
101–200,Australian Catholic University,https://www.timeshighereducation.com/world-university-rankings/australian-catholic-university,Australia,,,5,61.5–66.9,,,81.9–86.9,82.2–88.2,8,79.1,,,3,93.1,,
101–200,University of Barcelona,https://www.timeshighereducation.com/world-university-rankings/university-barcelona,Spain,,,,,9,92.4,75.6–81.7,82.2–88.2,11,76.7,,,16,81.7,,
101–200,University of Cape Town,https://www.timeshighereducation.com/world-university-rankings/university-cape-town,South Africa,5,70.9,8,66.4–71.5,6,87.5,88.9,82.2–88.2,,,,,,,,
101–200,Charles Darwin University,https://www.timeshighereducation.com/world-university-rankings/charles-darwin-university,Australia,11,77.1,8,76.9,,,70.6–75.5,82.2–88.2,3,73.5–78.9,,,,,,
101–200,Concordia University,https://www.timeshighereducation.com/world-university-rankings/concordia-university,Canada,11,83.5,10,79.5,8,66.4–71.5,75.6–81.7,82.2–88.2,,,,,,,,
101–200,Delft University of Technology,https://www.timeshighereducation.com/world-university-rankings/delft-university-technology,Netherlands,9,99.9,,,13,81.4,61.1–70.5,82.2–88.2,7,69.3,,,,,,
101–200,De Montfort University,https://www.timeshighereducation.com/world-university-rankings/de-montfort-university,United Kingdom,,,12,89.7,16,85,88.9,82.2–88.2,11,81.5,,,,,,
101–200,University of Florence,https://www.timeshighereducation.com/world-university-rankings/university-florence,Italy,9,91,12,82.4,8,66.4–71.5,87.6,82.2–88.2,,,,,,,,
101–200,Free University of Berlin,https://www.timeshighereducation.com/world-university-rankings/free-university-berlin,Germany,12,82.7,13,79.8,,,81.9–86.9,82.2–88.2,8,73.1,,,,,,
101–200,Universitas Gadjah Mada,https://www.timeshighereducation.com/world-university-rankings/universitas-gadjah-mada,Indonesia,,,9,88.1,,,75.6–81.7,82.2–88.2,,,,,7,74.9,8,75.8
101–200,University of Girona,https://www.timeshighereducation.com/world-university-rankings/university-girona,Spain,,,,,11,67.1–76.0,70.6–75.5,82.2–88.2,5,73.3,4,78.8,,,,
101–200,Glasgow Caledonian University,https://www.timeshighereducation.com/world-university-rankings/glasgow-caledonian-university,United Kingdom,,,,,10,79.2,70.6–75.5,82.2–88.2,3,83,,,,,8,76.2
101–200,University of Haifa,https://www.timeshighereducation.com/world-university-rankings/university-haifa,Israel,,,,,,,81.9–86.9,82.2–88.2,11,85.8,5,75.9,8,75.7,,
101–200,Hanyang University,https://www.timeshighereducation.com/world-university-rankings/hanyang-university,South Korea,9,99.8,11,67.1–76.0,8,62.4–66.3,61.1–70.5,82.2–88.2,,,,,,,,
101–200,Hiroshima University,https://www.timeshighereducation.com/world-university-rankings/hiroshima-university,Japan,,,,,3,73.5–78.9,88.7,82.2–88.2,11,79.7,9,73.0–87.2,,,,
101–200,University of Huddersfield,https://www.timeshighereducation.com/world-university-rankings/university-huddersfield,United Kingdom,8,75.6,,,10,86.7,75.6–81.7,82.2–88.2,,,,,16,70.0–77.0,,
101–200,University of Hull,https://www.timeshighereducation.com/world-university-rankings/university-hull,United Kingdom,,,,,10,79.5,89.1,82.2–88.2,3,73.5–78.9,13,73.9,,,,
101–200,IMT Atlantique,https://www.timeshighereducation.com/world-university-rankings/imt-atlantique,France,12,80.3,7,76.8,,,87.8,82.2–88.2,8,77.5,,,,,,
101–200,Indiana University-Purdue University Indianapolis,https://www.timeshighereducation.com/world-university-rankings/indiana-university-purdue-university-indianapolis,United States,3,84.1,5,71.5,16,80.5,90.2,82.2–88.2,,,,,,,,
101–200,IPB University,https://www.timeshighereducation.com/world-university-rankings/ipb-university,Indonesia,,,1,84.4,,,81.9–86.9,82.2–88.2,,,8,83.7,2,83.6,,
101–200,University of Jaén,https://www.timeshighereducation.com/world-university-rankings/university-jaen,Spain,,,16,85,,,75.6–81.7,82.2–88.2,,,8,75.5,6,83.8,,
101–200,James Cook University,https://www.timeshighereducation.com/world-university-rankings/james-cook-university,Australia,3,83.7,10,78.7,8,66.4–71.5,61.1–70.5,82.2–88.2,,,,,,,,
101–200,Jeonbuk National University,https://www.timeshighereducation.com/world-university-rankings/jeonbuk-national-university,South Korea,9,94.7,1,71.2,8,62.4–66.3,81.9–86.9,82.2–88.2,,,,,,,,
101–200,Kasetsart University,https://www.timeshighereducation.com/world-university-rankings/kasetsart-university,Thailand,11,79.2,14,84.1,,,94.2,82.2–88.2,2,82.5,,,,,,
101–200,Keio University,https://www.timeshighereducation.com/world-university-rankings/keio-university,Japan,11,67.1–76.0,16,83.6,,,75.6–81.7,82.2–88.2,9,73.0–87.2,,,,,,
101–200,King Abdullah University of Science and Technology (KAUST),https://www.timeshighereducation.com/world-university-rankings/king-abdullah-university-science-and-technology-kaust,Saudi Arabia,,,14,93.7,,,95.9,82.2–88.2,,,6,88,,,7,70.9
101–200,King Faisal University,https://www.timeshighereducation.com/world-university-rankings/king-faisal-university,Saudi Arabia,2,77.7,7,78.6,,,81.9–86.9,82.2–88.2,1,80.1,,,,,,
101–200,King Mongkut’s University of Technology Thonburi,https://www.timeshighereducation.com/world-university-rankings/king-mongkuts-university-technology-thonburi,Thailand,9,73.0–87.2,1,87.3,,,92,82.2–88.2,7,75.9,,,,,,
101–200,Kobe University,https://www.timeshighereducation.com/world-university-rankings/kobe-university,Japan,12,77.1,2,71.7,,,70.6–75.5,82.2–88.2,,,9,73.0–87.2,,,,
101–200,Kwame Nkrumah University of Science and Technology,https://www.timeshighereducation.com/world-university-rankings/kwame-nkrumah-university-science-and-technology,Ghana,,,16,70.0–77.0,,,81.9–86.9,82.2–88.2,4,92.3,7,74.1,,,,
101–200,Lakehead University,https://www.timeshighereducation.com/world-university-rankings/lakehead-university,Canada,7,68.7,3,73.5–78.9,6,72,81.9–86.9,82.2–88.2,,,,,,,,
101–200,Lancaster University,https://www.timeshighereducation.com/world-university-rankings/lancaster-university,United Kingdom,9,73.0–87.2,,,,,88.1,82.2–88.2,,,10,82,13,75.1,,
101–200,Lappeenranta-Lahti University of Technology LUT,https://www.timeshighereducation.com/world-university-rankings/lappeenranta-lahti-university-technology-lut,Finland,,,12,89.8,,,75.6–81.7,82.2–88.2,13,79.1,7,61.8–67.8,,,,
101–200,University of Latvia,https://www.timeshighereducation.com/world-university-rankings/university-latvia,Latvia,,,,,9,73.0–87.2,75.6–81.7,82.2–88.2,8,75.1,5,61.5–66.9,,,,
101–200,Université Libre de Bruxelles,https://www.timeshighereducation.com/world-university-rankings/universite-libre-de-bruxelles,Belgium,11,67.1–76.0,9,73.0–87.2,,,93.8,82.2–88.2,,,,,,,8,57.8–62.2
101–200,Lingnan University Hong Kong,https://www.timeshighereducation.com/world-university-rankings/lingnan-university-hong-kong,Hong Kong,4,90.6,8,66.4–71.5,11,60.1–67.0,81.9–86.9,82.2–88.2,,,,,,,,
101–200,London South Bank University,https://www.timeshighereducation.com/world-university-rankings/london-south-bank-university,United Kingdom,1,76.9,,,10,86.2,81.9–86.9,82.2–88.2,,,5,70,,,,
101–200,Université Catholique de Louvain,https://www.timeshighereducation.com/world-university-rankings/universite-catholique-de-louvain,Belgium,9,97.5,,,,,90.3,82.2–88.2,,,,,8,66.4–71.5,3,80.8
101–200,Lovely Professional University,https://www.timeshighereducation.com/world-university-rankings/lovely-professional-university,India,2,75.6,7,70.2,8,71.8,70.6–75.5,82.2–88.2,,,,,,,,
101–200,University of Malaya,https://www.timeshighereducation.com/world-university-rankings/university-malaya,Malaysia,5,77.4,,,,,88.6,82.2–88.2,11,80,,,7,77.2,,
101–200,Massachusetts Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology,United States,,,11,83.1,10,80.5,81.9–86.9,82.2–88.2,,,,,,,9,91.6
101–200,Memorial University of Newfoundland,https://www.timeshighereducation.com/world-university-rankings/memorial-university-newfoundland,Canada,9,93,5,61.5–66.9,14,76.4,81.9–86.9,82.2–88.2,,,,,,,,
101–200,Middle East Technical University,https://www.timeshighereducation.com/world-university-rankings/middle-east-technical-university,Turkey,,,7,75.2,,,75.6–81.7,82.2–88.2,8,73.7,9,97.5,,,,
101–200,University of Minnesota,https://www.timeshighereducation.com/world-university-rankings/university-minnesota,United States,13,56.6–66.3,2,81.5,,,87,82.2–88.2,3,84.4,,,,,,
101–200,Montpellier University,https://www.timeshighereducation.com/world-university-rankings/montpellier-university,France,,,,,,,75.6–81.7,82.2–88.2,,,8,77.4,3,87.6,10,79.1
101–200,University of Murcia,https://www.timeshighereducation.com/world-university-rankings/university-murcia,Spain,,,,,15,79.4,75.6–81.7,82.2–88.2,3,73.5–78.9,8,71.9,,,,
101–200,New Jersey Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/new-jersey-institute-technology,United States,,,8,66.4–71.5,11,81.1,75.6–81.7,82.2–88.2,,,,,,,16,70.0–77.0
101–200,University of Northampton,https://www.timeshighereducation.com/world-university-rankings/university-northampton,United Kingdom,,,11,67.1–76.0,,,75.6–81.7,82.2–88.2,,,15,87.3,10,81.1,,
